-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      71.842us         0.00%      71.842us       1.711us            42  
                                        cudaGraphLaunch         0.47%      21.554ms         0.53%      24.122ms     513.236us      71.583us         0.00%      71.583us       1.523us            47  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.521us         0.00%      47.521us       2.376us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      45.020us         0.00%      45.020us       2.814us            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      37.311us         0.00%      37.311us       0.691us            54  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.046us         0.00%      22.046us       2.004us            11  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.856us         0.00%      21.856us       2.428us             9  
                 execute_context_0(0)_generation_99(99)         2.54%     116.843ms         5.45%     250.182ms      50.036ms       0.000us         0.00%       5.570ms       1.114ms             5  
                                Activity Buffer Request         0.09%       3.994ms         0.09%       3.994ms       1.997ms       0.000us         0.00%       0.000us       0.000us             2  
                                            aten::slice         0.37%      16.925ms         0.51%      23.543ms       4.733us       0.000us         0.00%       0.000us       0.000us          4974  
                                       aten::as_strided         0.30%      13.634ms         0.30%      13.634ms       1.356us       0.000us         0.00%       0.000us       0.000us         10058  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.594s
Self CUDA time total: 2.806s

